Text,Emotion,Sentiment
The tour was empty.,Neutral,Neutral
"Not annoying at all, would go again.",Joy,Positive
"i worked so hard for this and it paid off, we won the science fair",Pride,Positive
I felt awful today.,Disappointment,Negative
It was trusty.,Joy,Positive
That was so frustrating!,Disappointment,Negative
The repair let everyone down.,Disappointment,Negative
Can't believe how dull the soundtrack turned out.,Disappointment,Negative
The flight was lovely and full of charm!!,Joy,Positive
how do i get to the museum from the train stop?,Curiosity,Neutral
That was so unjust!,Anger,Negative
This acting made everything faster.,Joy,Positive
"All is calm, baking bread on a slow afternoon.",Contentment,Positive
Is it true that the software update includes several bug fixes? #monday,Curiosity,Neutral
i can't believe how outstanding the tour was,Joy,Positive
The results were worse than I expected. Not what I hoped for at all.,Disappointment,Negative
"Enough is enough, the bank charged me hidden fees! 👎",Anger,Negative
i'm heading to berlin on sunday,Neutral,Neutral
definitely bad: the airport,Disappointment,Negative
Update: the keyboard has a two year warranty.,Neutral,Neutral
"Got the keyboard yesterday, it exceeded my expectations.",Joy,Positive
The workshop is held in the main hall. #today,Neutral,Neutral
I need to reply to the email before the weekend.,Neutral,Neutral
I can see the good and the bad in moving abroad.,Ambivalence,Neutral
"Fuming right now, the driver almost ran me over and didn't even apologize.",Anger,Negative
"I believe in the weather this weekend, better days are ahead.",Hope,Positive
The app looked digital.,Neutral,Neutral
i felt sinful today,Disappointment,Negative
Sending a huge thank you to my teachers for showing up for me!!,Gratitude,Positive
My new headset smells terrible.,Disappointment,Negative
feeling torn today,Ambivalence,Neutral
My breakfast was awesome today!!,Joy,Positive
I can't wait for the birthday party on Saturday!,Excitement,Positive
Feeling really anxious because the building shook during the earthquake.,Fear,Negative
"Got the vacuum cleaner yesterday, it has been flawless so far.",Joy,Positive
The airport was lovely and full of charm. #today,Joy,Positive
That was so downhearted!,Sadness,Negative
they are discussing the proposal in the research meeting,Neutral,Neutral
This whole thing is just aghast.,Fear,Negative
The bakery is closed on Fridays. #thoughts,Neutral,Neutral
"Honestly, such a treat",Joy,Positive
Feeling really anxious because my heart was pounding after that scary noise. 👎,Fear,Negative
The support team was underwhelming.,Disappointment,Negative
The app includes offline mode and the web.,Neutral,Neutral
the dessert was really incredible,Joy,Positive
"The sandwich was covered in green mould, it made me gag. 👎",Disgust,Negative
Thank you to my friends for believing in me. #monday,Gratitude,Positive
Worst movie I've ever had. 😤,Disappointment,Negative
Nothing feels better than a hug from my twin.,Love,Positive
I can't thank the whole team enough for your kindness. 🎉,Gratitude,Positive
Can't believe how great the soup turned out.,Joy,Positive
"Calm and cozy today, floating in the pool on a warm afternoon. 🎉",Contentment,Positive
it was creative,Joy,Positive
The teacher made my blood boil. 😞,Anger,Negative
The salad is full of joy.,Joy,Positive
The phone was alright. #life,Ambivalence,Neutral
The novel is full of lies. 😤,Disappointment,Negative
I'm angry about the game tonight.,Anger,Negative
My keyboard was alright today.,Ambivalence,Neutral
The novel was really unacceptable.,Anger,Negative
I expected the pizza to be annoying but it wasn't.,Joy,Positive
Spending another weekend with nobody to call and nobody cares.,Loneliness,Negative
What a villainous day. 😞,Disappointment,Negative
I'm optimistic about the job application.,Hope,Positive
I really hope my health goes well. 👍,Hope,Positive
I'm devastated that I found our old photos.,Sadness,Negative
Everything felt bitter.,Disappointment,Negative
I can't believe how very poor the salad was.,Disappointment,Negative
What a hurtful day. 👎,Disappointment,Negative
"Battery drains within a couple of hours, total garbage.",Disappointment,Negative
"Honestly, pretty joyous.",Joy,Positive
Not sure how to feel about the promotion.,Ambivalence,Neutral
"Got the mattress yesterday, it arrived damaged.",Disappointment,Negative
Can't stop smiling because my article got published.,Joy,Positive
awful support and they ignored my emails for weeks,Disappointment,Negative
"FYI, the office moved to the third floor. #monday",Neutral,Neutral
I'd love to learn why the sky is blue.,Curiosity,Neutral
The city centre was lovely and full of warmth.,Joy,Positive
Feeling pumped today.,Excitement,Positive
"Nothing to do, nowhere to be, just having a lazy morning with coffee. So content.",Contentment,Positive
"I'm livid, the neighbours partied until four in the morning!",Anger,Negative
the package arrived broken. not what i hoped for at all,Disappointment,Negative
Super hyped because I passed my driving test!,Excitement,Positive
Eating dinner alone again. I feel so alone. #monday,Loneliness,Negative
The teacher was a pleasure.,Joy,Positive
I thought the flight was absolutely incredible. #news,Joy,Positive
Super hyped because we finally finished the project!,Excitement,Positive
The app includes the web and iOS. #thoughts,Neutral,Neutral
"the software was top notch, although the phone was unreliable",Ambivalence,Neutral
"Thank you all, I got into my dream university and I owe it to you.",Gratitude,Positive
i'm undecided about moving abroad,Ambivalence,Neutral
The pasta was slow and full of stains.,Disappointment,Negative
Please note that the meeting is scheduled for Thursday afternoon.,Neutral,Neutral
This weekend was full of energy.,Joy,Positive
It was mirthful.,Joy,Positive
"The hotel room was delightful, although the beach was dingy.",Ambivalence,Neutral
Just thinking of my boyfriend makes me smile with love.,Love,Positive
I hate the workshop.,Anger,Negative
So let down today because I didn't get the promotion. 😤,Disappointment,Negative
Every day with my niece is a gift and I'm so in love.,Love,Positive
can't believe how superb the sushi turned out,Joy,Positive
"Overall, the update was responsive.",Joy,Positive
My dad means the world to me.,Love,Positive
"Watching the rain from the porch, completely satisfied.",Contentment,Positive
It is a small delivery driver.,Neutral,Neutral
"I'm so scared, the stock market crashed and I'm invested.",Fear,Negative
I thought the app was absolutely clunky.,Disappointment,Negative
Everything felt stressful. #news,Disappointment,Negative
What time does the cafe open on Monday?,Curiosity,Neutral
"Overall, the event was disorganized. 😢",Disappointment,Negative
Forever grateful to my parents for all your help this year.,Gratitude,Positive
The burger has been updated.,Neutral,Neutral
"Got the kettle yesterday, it makes my life so much easier.",Joy,Positive
The tablet was laggy but the app was delightful.,Ambivalence,Neutral
I'm so disappointed that the results were worse than I expected.,Disappointment,Negative
it was adored,Love,Positive
the manager had me smiling all day,Joy,Positive
Update: the watch is exactly what I needed.,Joy,Positive
The customer care was disappointing but the waiter was really good.,Ambivalence,Neutral
Everything felt confident.,Joy,Positive
Our breakfast was adequate.,Ambivalence,Neutral
"It runs silently, five stars.",Joy,Positive
I left my umbrella at the museum.,Neutral,Neutral
I can't thank the whole team enough for believing in me.,Gratitude,Positive
The album was slow and full of complaints.,Disappointment,Negative
see you at noon today,Neutral,Neutral
"Not great at all, what a shame.",Disappointment,Negative
it was serene,Contentment,Positive
"Enough is enough, they cancelled my order without telling me!!!",Anger,Negative
"The man spat on the pavement next to me, it made me gag. #thoughts",Disgust,Negative
It was radiant.,Joy,Positive
I felt cruel today.,Anger,Negative
The update includes voice search and macOS.,Neutral,Neutral
Everything felt crude.,Disappointment,Negative
Bitterly disappointed: the results were worse than I expected. 😞,Disappointment,Negative
The haircut is at noon tomorrow.,Neutral,Neutral
"i adore my baby girl, always will",Love,Positive
The keyboard was really delightful.,Joy,Positive
The router was really glitchy!!,Disappointment,Negative
Update: the backpack feels premium. 😊,Joy,Positive
"Not boring at all, pleasantly surprised.",Joy,Positive
This whole thing is just livid.,Anger,Negative
"i'm worried sick, my heart was pounding after that scary noise",Fear,Negative
the headset was overpriced tbh #news,Disappointment,Negative
Do you know if the bank is open on Saturday?,Curiosity,Neutral
"Feeling broken, my sister moved overseas. #monday",Sadness,Negative
That was so charmed!,Joy,Positive
What a harsh day.,Disappointment,Negative
What a laughing day.,Joy,Positive
The service was an absolute mess.,Disappointment,Negative
"Honestly, pretty complimentary.",Joy,Positive
Just thinking of my kids makes me smile with love.,Love,Positive
Feeling afraid today.,Fear,Negative
That was so excruciating! #update,Disappointment,Negative
What a degraded day. 😢,Disappointment,Negative
I wouldn't call the apartment top notch.,Disappointment,Negative
The shipment should arrive by the end of the day.,Neutral,Neutral
On my way today,Neutral,Neutral
"Drinking hot chocolate under a blanket, feeling completely at peace.",Contentment,Positive
The screen looked white.,Neutral,Neutral
i bought this jacket last week and it works perfectly,Joy,Positive
I'm so proud that my manager praised my work!,Pride,Positive
The trip was the highlight of my week.,Joy,Positive
We are having breakfast at ten thirty. #mood,Neutral,Neutral
Feeling worried about our move.,Fear,Negative
Everything felt idealistic.,Joy,Positive
"thank you all, the surprise party was a total success and i owe it to you",Gratitude,Positive
This whole thing is just kind.,Joy,Positive
My ice cream was great today.,Joy,Positive
Nothing feels better than a hug from my girlfriend.,Love,Positive
Does anyone know if the temperature is around twenty degrees today?,Curiosity,Neutral
Got it.,Neutral,Neutral
"Honestly, pretty glorious.",Joy,Positive
I'm reading a book about jazz history. #update,Neutral,Neutral
"Overall, the steak was so so.",Ambivalence,Neutral
The documentary wasn't lovely at all.,Disappointment,Negative
"The zipper broke immediately, avoid at all costs.",Disappointment,Negative
"Feeling isolated, scrolling through my phone with no one to text.",Loneliness,Negative
The tablet looked wide. #news,Neutral,Neutral
Feeling hopeful about next season.,Hope,Positive
Ew. The chicken smelled off. I can't unsee it.,Disgust,Negative
I can't believe how awful the album was.,Disappointment,Negative
Life is good. We adopted a puppy.,Joy,Positive
I found the lecture to be relaxing.,Joy,Positive
They mentioned the book in the newsletter.,Neutral,Neutral
The museum is full of life. #thoughts,Joy,Positive
Easily the worst service of my life.,Disappointment,Negative
"Not helpful at all, what a shame.",Disappointment,Negative
She gave a talk about the French revolution on Monday.,Neutral,Neutral
The manual is available in three languages. #monday,Neutral,Neutral
can't believe how perfect the soundtrack turned out,Joy,Positive
Counting down the days until our wedding next month!,Excitement,Positive
I felt neat today.,Joy,Positive
Feeling miserable about the game tonight. #mood,Sadness,Negative
The class covers chemistry and renewable energy.,Neutral,Neutral
"Thank you all, I learned to swim at forty and I owe it to you.",Gratitude,Positive
That was so awful!,Disappointment,Negative
This whole thing is just relaxed.,Contentment,Positive
"Enough is enough, the neighbours partied until four in the morning!",Anger,Negative
I can't believe how repetitive the play was.,Disappointment,Negative
She is head of the HR team.,Neutral,Neutral
The park was impressive.,Joy,Positive
Received.,Neutral,Neutral
The cashier is light and rectangular.,Neutral,Neutral
"Enough is enough, they cancelled the event with no notice! #mood",Anger,Negative
So unsure about the trip right now.,Ambivalence,Neutral
"Grateful for everyone who helped, I gave the speech without stumbling.",Gratitude,Positive
The latest resort made things harder to use.,Disappointment,Negative
I really hope the job application goes well.,Hope,Positive
The coffee machine I ordered arrived earlier than promised.,Joy,Positive
Can't believe how fabulous the ice cream turned out.,Joy,Positive
Everything felt lively.,Joy,Positive
Bad food and every dish was bland and cold.,Disappointment,Negative
Is the ending worth checking out?,Curiosity,Neutral
The next train to Delhi departs at ten thirty. #life,Neutral,Neutral
I'm so disappointed that our vacation was ruined by the weather.,Disappointment,Negative
The book has fifteen chapters and an index.,Neutral,Neutral
Everything felt threatening.,Fear,Negative
This lecture was full of bugs.,Disappointment,Negative
I'll be at the office until nine in the morning.,Neutral,Neutral
Today I'm thrilled. #update,Excitement,Positive
I cherish my dog so much.,Love,Positive
"Perfectly relaxed, watching the rain from the porch.",Contentment,Positive
Slow living at its best: reading in the garden.,Contentment,Positive
the platform is compatible with voice search and file sharing,Neutral,Neutral
"Honestly, pretty poisonous.",Disgust,Negative
My heart feels heavy. My relationship ended.,Sadness,Negative
"The best cake ever, hands down. 😍",Joy,Positive
the burger was divine,Joy,Positive
The tour is full of stains.,Disappointment,Negative
Everything felt motivated.,Joy,Positive
definitely miserable: the training,Disappointment,Negative
The update was so awesome!,Joy,Positive
can't believe how poor the keyboard turned out,Disappointment,Negative
"Got the kettle yesterday, it is exactly what I needed.",Joy,Positive
Update: the office chair broke on the first use.,Disappointment,Negative
What a sickening day. #daily,Disgust,Negative
The flight is full of warmth.,Joy,Positive
Poor quality today!!,Disappointment,Negative
Falling in love with my grandmother all over again. 😊,Love,Positive
"Excellent support, they replied almost instantly.",Joy,Positive
So devastated about my presentation right now.,Sadness,Negative
the salad was fresh,Joy,Positive
The beach is full of mistakes.,Disappointment,Negative
I felt safe today.,Joy,Positive
Everything felt trustful.,Joy,Positive
I bought this vacuum cleaner last week and it was delivered to the front desk.,Neutral,Neutral
"Honestly, will do.",Neutral,Neutral
It was arrogant. 😞,Anger,Negative
update: the headset is available in two sizes,Neutral,Neutral
"Honestly, pretty charming. 😍",Joy,Positive
This airport made everything more confusing.,Disappointment,Negative
Sitting in an empty apartment. I wish someone would call.,Loneliness,Negative
The class covers music and renewable energy!!,Neutral,Neutral
Our holiday in Italy is going to be epic!,Excitement,Positive
I have mixed feelings about moving abroad. #news,Ambivalence,Neutral
Definitely inspiring: the ending.,Joy,Positive
What is the story behind the customer care?,Curiosity,Neutral
Something tells me the surgery next week will be fine.,Hope,Positive
The film is full of mistakes.,Disappointment,Negative
"Not bad, not great.",Ambivalence,Neutral
Life is good. I completed the coding bootcamp.,Joy,Positive
Everything feels empty since I lost my job after ten years.,Sadness,Negative
best day i've had in years,Joy,Positive
The training was lovely and full of flavour.,Joy,Positive
"i can't believe it, they ignored my complaint for weeks. absolutely unacceptable",Anger,Negative
The technician is full of creativity.,Joy,Positive
The weekend was so useless!,Disappointment,Negative
I found the burger to be mediocre. #monday,Disappointment,Negative
I found the phone to be perfect. #life,Joy,Positive
Just thinking of my baby girl makes me smile with love.,Love,Positive
What a fraudulent day.,Disappointment,Negative
Feeling really anxious because the doctor wants more tests.,Fear,Negative
The movie here is superb.,Joy,Positive
The next metro to Lisbon departs at six o'clock.,Neutral,Neutral
"It doesn't fit at all, avoid at all costs.",Disappointment,Negative
The conference room can hold ten people.,Neutral,Neutral
I feel unsure today.,Ambivalence,Neutral
I can't believe how pathetic the event was.,Anger,Negative
I found the hotel room to be adequate.,Ambivalence,Neutral
The beach is full of charm.,Joy,Positive
The album will be reviewed next week!!,Neutral,Neutral
"Not awful at all, would go again.",Joy,Positive
"Sunday morning, warm coffee, no plans. I'm perfectly content.",Contentment,Positive
the platform comes with ios and the web,Neutral,Neutral
OMG the neighbours threw us a surprise party!!,Excitement,Positive
Standing tall today because I got the job offer. ❤️,Pride,Positive
It was courageous.,Joy,Positive
That was so valued!,Joy,Positive
"My heart is pounding, the dog next door growled at me. 😞",Fear,Negative
heads up: the conference takes place in berlin this year,Neutral,Neutral
"I adore my mum, always will.",Love,Positive
Nobody makes my heart flutter like my whole family.,Love,Positive
"Honestly, pretty energetic. 👍",Excitement,Positive
Can't believe how dreadful the sushi turned out.,Disappointment,Negative
I'll call a friend after dinner.,Neutral,Neutral
"FYI, the shop stocks both paper and digital editions.",Neutral,Neutral
Can't believe how perfect the laptop turned out!!,Joy,Positive
"Part of me is excited about the new policy, but part of me is dreading it.",Ambivalence,Neutral
this coffee machine requires two batteries,Neutral,Neutral
"Ugh, I didn't get the promotion. What a waste. #monday",Disappointment,Negative
This whole thing is just astounding. 😊,Joy,Positive
I can't believe how spotless the gym was!,Joy,Positive
Everything felt exhilarated.,Excitement,Positive
Feeling at peace about the hearing.,Contentment,Positive
The class is rectangular and late.,Neutral,Neutral
"thank you all, my parents surprised me with a visit and i owe it to you",Gratitude,Positive
The workshop was inspired.,Joy,Positive
My breakfast was fine today.,Ambivalence,Neutral
My training was standard today.,Ambivalence,Neutral
Definitely mediocre: the airport.,Disappointment,Negative
"It doesn't fit at all, completely useless.",Disappointment,Negative
i used the pizza this morning,Neutral,Neutral
Simple pleasures: having a lazy morning with coffee. I'm perfectly content.,Contentment,Positive
I'm meeting my neighbour for brunch on Monday. #update,Neutral,Neutral
"I believe in next season, better days are ahead.",Hope,Positive
That was a disgraceful decision and I'm angry about it.,Anger,Negative
The curry was sympathetic.,Joy,Positive
The phone was slow and full of scratches.,Disappointment,Negative
Everything feels empty since my relationship ended. 😤,Sadness,Negative
"Honestly, the museum was pretty really bad.",Disappointment,Negative
we usually have lunch at nine in the morning,Neutral,Neutral
I thought the breakfast was absolutely unacceptable.,Anger,Negative
The staff made my day more confusing!!,Disappointment,Negative
"Feeling discouraged, my exam went terribly.",Disappointment,Negative
The game was lovely and full of energy.,Joy,Positive
My brother works in finance. #daily,Neutral,Neutral
The laptop was dreadful. 😢,Fear,Negative
the platform is compatible with cloud backup and android,Neutral,Neutral
The software was horrible.,Disappointment,Negative
I really hope the interview tomorrow goes well.,Hope,Positive
This training was full of problems. 😢,Disappointment,Negative
the store has a sale on winter coats until monday,Neutral,Neutral
This course was full of flavour. #monday,Joy,Positive
"This makes me so angry, my manager blamed me for his mistake!",Anger,Negative
"The delivery driver was delightful, although the staff was inattentive.",Ambivalence,Neutral
what time does the bakery open on monday?,Curiosity,Neutral
"Honestly, the ice cream was pretty overcooked.",Disappointment,Negative
I felt respectable today.,Joy,Positive
I love my kids more than words can say.,Love,Positive
"What a proud moment, my manager praised my work. 🎉",Pride,Positive
I can't believe how underwhelming the movie was.,Disappointment,Negative
Quick question: is it right that the shop is next to the post office? #today,Curiosity,Neutral
i need to return the library books before friday,Neutral,Neutral
Fingers crossed for my recovery!,Hope,Positive
Update: the vacuum cleaner is useless and overpriced.,Disappointment,Negative
I felt ashamed today.,Disappointment,Negative
Scrolling through my phone with no one to text and nobody cares.,Loneliness,Negative
I'm so proud that my article got published! #update,Pride,Positive
the soundtrack was really really good,Joy,Positive
"The evenings are the hardest, when the house goes silent.",Loneliness,Negative
"The screen is gorgeous, absolutely love it.",Joy,Positive
The battery made my day clunkier.,Disappointment,Negative
He works in the marketing department.,Neutral,Neutral
Can't believe how brilliant the burger turned out.,Joy,Positive
Definitely superb: the support team.,Joy,Positive
I felt enthusiastic today. #mood,Excitement,Positive
The class was worth every minute. ❤️,Joy,Positive
The dinner was really bland.,Disappointment,Negative
It was glamourous.,Joy,Positive
It was apocalyptic. #weekend,Disappointment,Negative
I miss having someone to talk to. Eating cereal for dinner by myself.,Loneliness,Negative
"Honestly, pretty distrustful.",Disappointment,Negative
Very unhappy with the book.,Disappointment,Negative
"I can't believe it, he lied to my face. Absolutely unacceptable! 👎",Anger,Negative
The support team was unremarkable.,Ambivalence,Neutral
The cashier was really average.,Ambivalence,Neutral
Feeling very anxious today #thoughts,Fear,Negative
My new backpack arrived on Tuesday. #daily,Neutral,Neutral
the keyboard i ordered was delivered to the front desk,Neutral,Neutral
Your package will be processed on Wednesday.,Neutral,Neutral
My colleague wasted my whole afternoon. #mood,Anger,Negative
I need to book the tickets before the end of the month. #thoughts,Neutral,Neutral
"Honestly, how does it work?",Curiosity,Neutral
What an earnest day.,Joy,Positive
Do you know if the bakery is open on Sunday?,Curiosity,Neutral
The software supports both cloud backup and Windows.,Neutral,Neutral
Something tells me the scholarship decision will be fine. #weekend,Hope,Positive
Been reading up on who invented the bicycle.,Curiosity,Neutral
Is the book worth checking out?,Curiosity,Neutral
Definitely excellent: the novel. #daily,Joy,Positive
"Amazing food, every dish was full of flavour.",Joy,Positive
Can't believe how atrocious the novel turned out. #monday,Anger,Negative
This whole thing is just inspirational.,Joy,Positive
I have a job interview at noon.,Neutral,Neutral
I'm depressed about the party.,Sadness,Negative
I'm undecided about the software redesign.,Ambivalence,Neutral
Feeling furious about the flight. 😞,Anger,Negative
What a troubled day.,Disappointment,Negative
I keep asking myself how electric cars work.,Curiosity,Neutral
The latest waiter made things smoother. #daily,Joy,Positive
i feel optimistic today,Hope,Positive
My aunt means the world to me.,Love,Positive
The website was a waste of time and money. #news,Disappointment,Negative
"Everything works smoothly, five stars.",Joy,Positive
This tour was full of bugs.,Disappointment,Negative
So grossed out about the trip right now.,Disgust,Negative
Can't stop smiling because I got into my dream university.,Joy,Positive
I'm furious that the neighbours partied until four in the morning!,Anger,Negative
I found the service to be fine!!,Ambivalence,Neutral
Best weekend I've had in years.,Joy,Positive
They are discussing the application in the legal meeting.,Neutral,Neutral
The workshop is held in the main hall!!,Neutral,Neutral
Praying that the audition on Friday turns out fine.,Hope,Positive
This journey made everything slower.,Disappointment,Negative
I feel cheerful because of the reunion.,Joy,Positive
I can't believe how incredible the soundtrack was!,Joy,Positive
Feeling really anxious because I might lose my house.,Fear,Negative
I'm honestly cheerful about the new job.,Joy,Positive
The book was really confusing. 😞,Disappointment,Negative
That was so elated!,Joy,Positive
that was so sprightly,Joy,Positive
This kettle is listed on the second page.,Neutral,Neutral
The burger is full of warmth. 🎉,Joy,Positive
the package comes with file sharing and windows,Neutral,Neutral
The interface was neglected.,Loneliness,Negative
"Honestly, pretty distressed.",Disappointment,Negative
The match did not meet my expectations.,Disappointment,Negative
The latest website made things slower.,Disappointment,Negative
The support team was bullying.,Disappointment,Negative
This cashier made everything less reliable.,Disappointment,Negative
I signed up for a class on Friday.,Neutral,Neutral
the steak was awesome tbh,Joy,Positive
That was so fond! 👍,Love,Positive
Really impressed by the game.,Joy,Positive
"Can't stop the tears, my cat went missing.",Sadness,Negative
Thank you to my mentor for your endless support.,Gratitude,Positive
"The bathroom was filthy, it made me gag.",Disgust,Negative
Today I'm sad.,Sadness,Negative
"The best day ever, hands down.",Joy,Positive
the router was affectionate,Love,Positive
"Feeling isolated, spending another weekend with nobody to call.",Loneliness,Negative
can't believe how entertaining the story turned out,Joy,Positive
This whole thing is just exuberant.,Excitement,Positive
Does anyone know if the presentation is about twenty minutes long? #today,Curiosity,Neutral
I can see the good and the bad in the new manager.,Ambivalence,Neutral
The staff made me furious.,Anger,Negative
Standing tall today because the client loved our proposal.,Pride,Positive
That was so vile!,Disgust,Negative
"It hurts so much, my sister moved overseas. #today",Sadness,Negative
it was despondent,Sadness,Negative
What an irritated day.,Anger,Negative
"The play was not useless, but not hilarious either. #mood",Ambivalence,Neutral
so torn about the surgery on monday right now,Ambivalence,Neutral
I have mixed feelings about the new manager.,Ambivalence,Neutral
"All is calm, sitting by the fire with a book.",Contentment,Positive
Today I'm torn.,Ambivalence,Neutral
"It hurts so much, we said goodbye at the airport.",Sadness,Negative
The class was awesome.,Joy,Positive
The pasta is full of stains.,Disappointment,Negative
"honestly, the experience was pretty lovely",Joy,Positive
The tour was useless but the commute was relaxing.,Ambivalence,Neutral
The coffee was remorseless.,Disappointment,Negative
We are having brunch at nine in the morning.,Neutral,Neutral
My heart is so full when I'm with my whole family. #daily,Love,Positive
The website was slow and full of stains.,Disappointment,Negative
i'll call an old classmate after dinner,Neutral,Neutral
this manager made everything more confusing,Disappointment,Negative
"Just me again, watching everyone else with their friends.",Loneliness,Negative
The restaurant was way better than I expected. #today,Joy,Positive
My heart feels heavy. I heard she is very ill.,Sadness,Negative
"The album is not first class, sadly. 😤",Disappointment,Negative
The acting looked second!!,Neutral,Neutral
I'm so disappointed that my flight got cancelled.,Disappointment,Negative
The service looked flat.,Neutral,Neutral
Completely disappointed by the cafe. 👎,Disappointment,Negative
"Worst teacher ever, avoid.",Disappointment,Negative
the book was captivating tbh #news,Joy,Positive
This breakfast made everything slower. 👎,Disappointment,Negative
the phone was short,Neutral,Neutral
Panic rose in my chest as the water reached my knees.,Fear,Negative
This vacuum cleaner smells terrible.,Disappointment,Negative
That was so unhealthy!,Disappointment,Negative
I felt prejudiced today.,Disappointment,Negative
I can't believe how really bad the journey was.,Disappointment,Negative
I'm so angry right now,Anger,Negative
"I liked the campsite, but the museum was dirty.",Ambivalence,Neutral
"Not dull at all, I'm actually impressed.",Joy,Positive
"Honestly, the tablet was pretty really good.",Joy,Positive
I really hope my recovery goes well.,Hope,Positive
"Battery drains within a couple of hours, avoid at all costs.",Disappointment,Negative
I'm devastated that we said goodbye at the airport.,Sadness,Negative
"My heart is racing with excitement, I got promoted today. 😍",Excitement,Positive
Feeling thrilled today.,Excitement,Positive
Sending a huge thank you to my sister for your kindness.,Gratitude,Positive
The train station was superb.,Joy,Positive
Nothing feels better than a hug from my dog.,Love,Positive
Thank you to my teachers for showing up for me.,Gratitude,Positive
"Just me again, scrolling through my phone with no one to text. #mood",Loneliness,Negative
what time does the museum open on sunday?,Curiosity,Neutral
Falling in love with my grandparents all over again!!,Love,Positive
What time does the pool open on Wednesday?,Curiosity,Neutral
i have a job interview at noon,Neutral,Neutral
Everything felt downhearted. 😞,Sadness,Negative
I felt glorified today.,Joy,Positive
"All is calm, cooking a slow Sunday lunch. #thoughts",Contentment,Positive
That was so stressful!,Disappointment,Negative
"Just me again, staring at my phone waiting for someone to reply.",Loneliness,Negative
The latest battery made things less reliable.,Disappointment,Negative
This training made everything faster.,Joy,Positive
what a wonderful day! the results came back all clear,Joy,Positive
My friend stopped talking to me and I just feel numb.,Sadness,Negative
"Best day ever, we adopted a puppy!",Joy,Positive
The latest delivery driver made things clunkier.,Disappointment,Negative
"Honestly, the headset was pretty useless.",Disappointment,Negative
"Got the office chair yesterday, it is available in two sizes.",Neutral,Neutral
I'm so scared today,Fear,Negative
This toaster is exactly what I needed.,Joy,Positive
Trying to figure out why we dream.,Curiosity,Neutral
I'm furious that the delivery guy threw the package over the fence!,Anger,Negative
everything felt beautiful,Joy,Positive
I thought the commute was absolutely top notch.,Joy,Positive
the store has a sale on books until friday,Neutral,Neutral
I can't believe how crowded the apartment was.,Disappointment,Negative
How dare they? Someone cut in line right in front of me! 😞,Anger,Negative
Yay! My daughter made the team!,Joy,Positive
"So lonely tonight, celebrating my birthday by myself.",Loneliness,Negative
That was so relaxing!,Contentment,Positive
Can't stop smiling because the flight landed early.,Joy,Positive
please note that the webinar covers the basics of budgeting,Neutral,Neutral
This gym made everything simpler!!,Joy,Positive
That was so yummy!,Joy,Positive
Worst pizza I've ever had.,Disappointment,Negative
The museum was so spacious!,Joy,Positive
What a horrendous day.,Disappointment,Negative
I expected the update to be dreadful but it wasn't.,Joy,Positive
Can't believe how tiresome the course turned out. #thoughts,Disappointment,Negative
Eating lunch by myself at my desk and nobody cares.,Loneliness,Negative
I'm let down about the wedding. #news,Disappointment,Negative
the soup was fine tbh,Ambivalence,Neutral
"Feeling discouraged, the trip didn't live up to the hype. 😢",Disappointment,Negative
The marketing team sent an update in the morning.,Neutral,Neutral
"The staff was great, although the technician was inattentive.",Ambivalence,Neutral
definitely tasty: the burger,Joy,Positive
"i'm over the moon, we adopted a puppy",Joy,Positive
Our tablet was perfect.,Joy,Positive
I felt faithful today.,Joy,Positive
yay! my son graduated with honours,Joy,Positive
This water bottle is available in two sizes.,Neutral,Neutral
I can't thank my coach enough for everything you did for us.,Gratitude,Positive
The battery was sturdy but the screen was worthless.,Ambivalence,Neutral
I have to update my resume on Sunday.,Neutral,Neutral
Everything felt virtuous.,Joy,Positive
My resort was run down today.,Disappointment,Negative
I watched a documentary about space travel last night.,Neutral,Neutral
The movie was not annoying at all. 👍,Joy,Positive
"Honestly, pretty illegal. #mood",Disappointment,Negative
I feel comfortable because of the surgery on Monday.,Contentment,Positive
They cancelled the event with no notice and I'm fuming.,Anger,Negative
Can't believe how abysmal the software turned out.,Disappointment,Negative
The cafe is closed on Fridays.,Neutral,Neutral
"Let's stay positive, a solution will turn up. #monday",Hope,Positive
This whole thing is just funny.,Joy,Positive
I feel uneasy because of the new job.,Fear,Negative
Great app: setup took two minutes and it just works! 🎉,Joy,Positive
What a pained day. 😡,Disappointment,Negative
I have a dentist appointment at lunchtime.,Neutral,Neutral
I feel nervous today.,Fear,Negative
"The beach was perfect, although the museum was unacceptable.",Ambivalence,Neutral
Slow living at its best: cooking a slow Sunday lunch.,Contentment,Positive
I bought this watch last week and it stopped charging within a week. 😡,Disappointment,Negative
The pool is on the second floor next to the kitchen. #thoughts,Neutral,Neutral
I adore the way you laugh at your own jokes.,Love,Positive
Can't believe how fantastic the receptionist turned out.,Joy,Positive
The team was an absolute mess.,Disappointment,Negative
i'm so proud that i made it to the finals,Pride,Positive
"Not awful at all, pleasantly surprised.",Joy,Positive
I felt honorable today.,Joy,Positive
The customer care made my day faster.,Joy,Positive
"So down today, we said goodbye at the airport. 😡",Sadness,Negative
"FYI, the new timetable comes into effect in March.",Neutral,Neutral
Who is in charge of the bank?,Curiosity,Neutral
quiet moment: baking bread on a slow afternoon. life is good,Contentment,Positive
I felt astounded today. #daily,Joy,Positive
I keep asking myself why we dream.,Curiosity,Neutral
Definitely boring: the play.,Disappointment,Negative
